id,title,age,available,neighbourhood,postcode,type,rooms,monthly_price_usd,monthly_min_usd,monthly_max_usd,link,long,lat,postcode_latlong,commute_time,commute_distance
101235385,"Sunny BDRM, Bay Ridge/Sunset Park",13,Available Now,Sunset Park,11220,house,3,$800,800,800,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101235385&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D690%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-74.0153231,40.6385229,40.6385229+-74.0153231,2248,16420
101042602,At Home in Historic Harlem,13,15 Sep,Harlem,10027,apartment,2,"$1,500",1500,1500,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101042602&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D690%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96243270000001,40.8138912,40.8138912+-73.9624327,1949,7889
101235298,Master Bedroom w/ en suite bathroom available 8/9,13,10 Aug,Harlem,10026,apartment,3,"$1,500",1500,1500,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101235298&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D690%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.95258249999999,40.8032131,40.8032131+-73.9525825,1303,6621
101229562,Clinton Hill Apartment Share Available Immediately,13,Available Now,Clinton Hill,11205,apartment,4,$525,525,525,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229562&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D690%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9565551,40.6945036,40.6945036+-73.9565551,2464,11196
101235211,Summer Sublet. 7/15-9/30. Furnished Harlem Apt!,13,15 Jul,Harlem,10039,apartment,2,"$1,100",1100,1100,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101235211&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9374517,40.8288377,40.8288377+-73.9374517,1454,9822
101235064,Furnished Room Available for One Person,13,1 Aug,Astoria,11103,apartment,2,"$1,450",1450,1450,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101235064&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9109977,40.7633726,40.7633726+-73.9109977,1826,8082
101234977,Room in a converted house with laundry in unit!,14,Available Now,Washington Heights,10032,apartment,3,"$1,100",1100,1100,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101234977&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9447994,40.8409822,40.8409822+-73.9447994,1951,11113
101066461,Furnished room in UWS next to Central Park,14,31 Aug,Upper West Side,10025,apartment,3,"$1,500",1500,1500,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101066461&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96831019999999,40.7999209,40.7999209+-73.9683102,1464,5434
100586314,Lovely Bedroom Available in Bed Stuy!,14,1 Aug,Crown Heights,11216,apartment,3,"$1,200",1200,1200,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100586314&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.6788319,40.6788319+-73.9506774,1778,13268
101234365,Luxuary Apartment 10 minutes from NYC,14,3 Aug,Long Island City,11101,apartment,2,"$1,700",1700,1700,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101234365&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D700%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9418603,40.7443091,40.7443091+-73.9418603,1429,4383
